date,likeCount,retweetCount,replyCount,source
2025-01-19 21:14:45+00:00,@TMobileHelp Coverage said ‘not today bestie.’,31911,1484,97,Twitter for Android
2024-11-23 19:07:16+00:00,@TMobileHelp Data speeds slower than plot development in a Netflix filler episode. #TMobile,612,780,306,Twitter for Android
2017-07-15 07:14:39+00:00,@TMobile Wondering if roaming is still free internationally. #TMobile,19408,134,269,Twitter for iPhone
2020-05-20 12:45:08+00:00,"@TMobileBusiness Honestly blown away by the 5G speeds today, feels unreal! #TMobile",43653,1339,97,Twitter for iPhone
2024-02-04 19:09:03+00:00,TMobile really said 'let’s actually take care of our customers' and meant it. #TMobile,11660,743,268,Twitter for iPhone
2015-07-31 01:22:11+00:00,@TMobileBusiness T-Mobile or WiFi calling today? Undecided. #T-Mobile,4843,1520,140,Twitter for iPhone
2021-10-15 02:17:42+00:00,"@TMobile Got a T-Mobile notification, reading it later.",6654,1868,151,Twitter for Android
2022-06-28 08:26:09+00:00,Data transferring slower than generational trauma. #TMobile,44793,945,24,Twitter for iPhone
2020-07-04 19:27:07+00:00,Coverage map says 5G here but I’ll test later.,28625,923,161,Twitter for iPhone
2023-10-04 00:40:36+00:00,"@TMobileBusiness Phone bill paid, life continues. #TMobile",40212,1073,300,Twitter for Android
2023-11-13 14:01:37+00:00,"TMobile in my city is unbeatable right now, others gotta catch up.",33452,1293,209,Twitter for Android
2021-07-05 09:37:12+00:00,@TMobileHelp Airport WiFi is officially useless to me now. TMobile is faster. #TMobile,21614,2105,178,Twitter for Android
2023-11-09 17:29:21+00:00,One day I’ll have stable internet. Today is not that day. #T-Mobile,49569,897,165,Twitter Web App
2017-04-12 00:43:01+00:00,@TMobileBusiness Packet loss is my new cardio. #T-Mobile,30608,659,51,Twitter for Android
2017-04-22 04:44:13+00:00,Shoutout to the TMobile tech who fixed my network in legit 3 minutes. Legend.,19180,1728,252,Twitter for iPhone
2019-11-12 14:20:05+00:00,"@TMobileBusiness I can call my mom without robot voice cutting in, praise!",42688,1427,127,Twitter Web App
2017-02-19 16:07:56+00:00,"@TMobile T-Mobile in my city is unbeatable right now, others gotta catch up.",42050,839,276,Twitter for iPhone
2022-08-16 10:50:53+00:00,If disappointment had a mascot it would be my signal strength right now. #TMobile,34026,1060,156,Twitter for iPhone
2022-02-14 02:14:27+00:00,"@TMobile Officially a TMobile fan account now, idc.",41188,2233,300,Twitter for iPhone
2021-08-29 12:37:22+00:00,@TMobileBusiness TMobile understood the assignment and did the extra credit. #TMobile,12631,1046,241,Twitter for iPhone
2016-04-17 04:24:16+00:00,@TMobile Can we talk about how fast T-Mobile improved? Night and day difference. #TMobile,48574,535,239,Twitter for Android
2024-09-04 12:46:54+00:00,"@TMobile Not judging, just observing coverage bars. #TMobile",22595,2061,176,Twitter Web App
2020-11-29 11:42:46+00:00,Mentally compiling plan comparison charts.,1283,1193,165,Twitter Web App
2017-03-11 04:04:40+00:00,"@TMobile Had doubts before switching, now I'm wondering why I waited so long. #T-Mobile",23129,1686,72,Twitter for iPhone
2020-05-13 16:33:41+00:00,@TMobileHelp Not to be dramatic but TMobile 5G kind of changed my life. #TMobile,26002,1165,112,Twitter for iPhone
2020-12-10 12:06:21+00:00,"@TMobile I don’t need 5G Ultra, I need 5G that works.",1021,2294,130,Twitter Web App
2023-03-31 16:16:45+00:00,"@TMobile I can call my mom without robot voice cutting in, praise!",51362,353,279,Twitter Web App
2023-01-23 02:27:59+00:00,"T-Mobile bill just hit, looks normal. #TMobile",25442,1653,118,Twitter for iPhone
2024-03-09 12:14:11+00:00,@TMobileHelp Data so good I forgot WiFi passwords even exist. #T-Mobile,23789,1548,165,Twitter Web App
2025-02-08 19:27:00+00:00,@TMobileHelp Monthly payment ✅ Service exists ✅ That’s all I check. #T-Mobile,44435,1018,2,Twitter for iPhone
2016-04-03 18:41:11+00:00,"Might call support later, might not.",40442,353,313,Twitter Web App
2022-08-16 22:17:21+00:00,Airport WiFi is officially useless to me now. T-Mobile is faster.,3508,930,103,Twitter for iPhone
2015-05-14 06:55:59+00:00,TMobile really said 'let’s actually take care of our customers' and meant it. #T-Mobile,28924,234,267,Twitter Web App
2015-11-12 21:38:38+00:00,"@TMobileHelp Might switch plans, still deciding. #TMobile",26119,2428,55,Twitter for Android
2024-10-14 10:33:15+00:00,@TMobileHelp Phone service functioning as intended today. #T-Mobile,8003,1898,36,Twitter Web App
2016-04-10 23:28:47+00:00,Loading icon gonna be on my tombstone at this rate. #TMobile,13890,1554,304,Twitter for Android
2025-02-03 19:47:29+00:00,@TMobile I used to ration data… now I stream in 4K on cellular like a menace. #TMobile,40207,1849,319,Twitter for Android
2018-08-17 00:26:50+00:00,@TMobileBusiness My bill went down and my speeds went up… what kind of magic is this?,47224,1542,247,Twitter Web App
2016-07-11 08:55:13+00:00,"@TMobileHelp Customer support actually solved my issue first try, rare W! #TMobile",6786,2188,260,Twitter for iPhone
2023-12-21 04:05:35+00:00,"@TMobile Switch was seamless, pricing fair, service elite. Big win. #T-Mobile",661,1620,210,Twitter for Android
2016-02-24 19:45:42+00:00,"@TMobile T-Mobile came in clutch, best carrier experience I’ve ever had. #TMobile",39461,1538,122,Twitter for Android
2018-01-04 01:14:59+00:00,@TMobileHelp Considering family plan math. #TMobile,18931,2226,246,Twitter for Android
2015-04-17 16:59:14+00:00,"@TMobileBusiness TMobile reminder text received, mentally noted.",45194,1373,175,Twitter Web App
2022-02-02 23:06:23+00:00,@TMobile Considering family plan math. #TMobile,42283,300,215,Twitter for iPhone
2018-06-22 14:28:31+00:00,I just said 'wow' out loud at a speed test result. TMobile exceeding expectations.,42530,836,276,Twitter Web App
2021-08-04 02:40:53+00:00,"@TMobile I don't tweet much but TMobile deserves the praise, this service is crazy good. #TMobile",15760,1716,75,Twitter for Android
2019-01-03 09:45:26+00:00,@TMobileHelp Shoutout to the T-Mobile tech who fixed my network in legit 3 minutes. Legend. #T-Mobile,19752,1392,13,Twitter for iPhone
2022-12-15 18:52:24+00:00,@TMobileHelp From signal dead zones to 5G everywhere… the glow up is real. #TMobile,27788,312,54,Twitter Web App
2020-08-03 16:16:00+00:00,@TMobileBusiness Left another carrier and immediately leveled up. No regrets. #T-Mobile,21561,1335,18,Twitter for iPhone
2020-10-02 08:02:54+00:00,@TMobileBusiness My data plans have trust issues after this week. #TMobile,14508,910,118,Twitter for iPhone
2020-10-05 09:19:40+00:00,@TMobileBusiness Switching to T-Mobile might be my smartest adult decision so far.,54424,2029,249,Twitter for iPhone
2023-05-12 04:22:33+00:00,"@TMobileBusiness I fear I'm becoming a T-Mobile evangelist because wow, this is GOOD good. #TMobile",10599,2371,243,Twitter for Android
2024-07-13 01:39:43+00:00,I can make calls in places I didn't even know were *allowed* to have signal. #T-Mobile,45559,133,124,Twitter for Android
2019-01-30 01:01:56+00:00,@TMobileHelp Why is T-Mobile faster in the woods than my home WiFi 😭,7091,1908,190,Twitter Web App
2021-07-27 13:00:41+00:00,"@TMobileBusiness Officially a TMobile fan account now, idc.",27376,2237,294,Twitter for iPhone
2016-04-29 08:51:48+00:00,@TMobileHelp T-Mobile really testing my emotional resilience.,50672,572,19,Twitter for Android
2015-11-16 11:39:12+00:00,@TMobileHelp Download speeds just hit 700mbps... T-Mobile cooking fr. #TMobile,2165,2439,2,Twitter for iPhone
2016-10-05 15:59:28+00:00,@TMobileBusiness Finally a carrier that actually improves instead of getting worse over time 🙌 #TMobile,36316,1394,35,Twitter for iPhone
2016-04-10 06:52:39+00:00,@TMobile Considering family plan math.,38508,723,287,Twitter for Android
2024-07-08 19:57:54+00:00,"@TMobileBusiness Insane coverage even in the middle of nowhere, respect. #TMobile",31684,1294,87,Twitter for Android
2021-07-18 08:44:53+00:00,Why is T-Mobile faster in the woods than my home WiFi 😭 #TMobile,26158,2127,131,Twitter for Android
2023-05-11 05:33:08+00:00,"@TMobileBusiness Honestly blown away by the 5G speeds today, feels unreal!",52972,1961,286,Twitter Web App
2020-02-15 00:00:54+00:00,"T-Mobile came in clutch, best carrier experience I’ve ever had. #T-Mobile",20263,1432,223,Twitter for iPhone
2017-09-04 02:27:49+00:00,@TMobileHelp The 5G UC icon might be the most beautiful thing I've ever seen on my phone. #TMobile,7777,1123,309,Twitter for iPhone
2021-11-11 04:30:11+00:00,Loading icon gonna be on my tombstone at this rate. #T-Mobile,3786,1003,15,Twitter for iPhone
2022-05-26 19:25:09+00:00,@TMobile If disappointment had a mascot it would be my signal strength right now. #T-Mobile,32042,2147,155,Twitter for iPhone
2018-11-30 20:37:01+00:00,@TMobileBusiness Switching to TMobile might be my smartest adult decision so far. #TMobile,25105,2281,240,Twitter Web App
2021-02-06 18:06:59+00:00,@TMobileHelp 5G so strong it should pay rent on my phone. #T-Mobile,10242,1919,115,Twitter for Android
2016-08-11 04:35:54+00:00,@TMobileBusiness Not sure if it's congestion or emotional damage at this point. #T-Mobile,24059,41,187,Twitter Web App
2021-09-26 06:49:46+00:00,@TMobileHelp Debating if 5G UC really matters.,4050,2419,42,Twitter for Android
2024-02-07 12:09:42+00:00,@TMobileBusiness TMobile app opened. I saw numbers. I moved on.,54040,874,216,Twitter Web App
2024-05-29 05:01:28+00:00,"@TMobileBusiness Speed test later maybe, no urgency. #TMobile",41154,2041,34,Twitter for Android
2024-03-31 00:13:10+00:00,@TMobileBusiness Finally a carrier that actually improves instead of getting worse over time 🙌,8824,302,72,Twitter for iPhone
2017-04-22 20:10:16+00:00,@TMobileHelp Why is T-Mobile faster in the woods than my home WiFi 😭 #T-Mobile,15461,716,310,Twitter for iPhone
2020-11-18 22:40:28+00:00,@TMobileHelp TMobile app opened. I saw numbers. I moved on.,28227,175,134,Twitter for iPhone
2023-08-10 19:09:13+00:00,@TMobile This network is playing hide and seek and I’m losing.,36200,45,2,Twitter for Android
2021-03-17 18:11:32+00:00,@TMobileHelp Phone works. Bill paid. No drama. Nice.,33600,1578,213,Twitter Web App
2022-11-17 03:28:31+00:00,@TMobile The buffering circle is my sleep paralysis demon. #T-Mobile,45336,1684,319,Twitter for Android
2020-09-28 23:39:01+00:00,@TMobile TMobile deserves credit where it’s due — network game STRONG. #T-Mobile,38101,1437,87,Twitter Web App
2022-04-04 23:40:14+00:00,Shoutout to the T-Mobile tech who fixed my network in legit 3 minutes. Legend.,43766,1334,282,Twitter for Android
2017-06-06 16:46:03+00:00,@TMobileBusiness Finally watching YouTube without 4 buffering pauses per minute.,13535,2444,199,Twitter for iPhone
2025-08-31 20:45:39+00:00,@TMobileBusiness TMobile deserves credit where it’s due — network game STRONG. #TMobile,16726,1462,118,Twitter for iPhone
2019-05-17 21:50:38+00:00,"@TMobileHelp Officially a T-Mobile fan account now, idc.",4502,1507,285,Twitter for iPhone
2015-08-04 23:09:41+00:00,@TMobile Customer support being kind AND helpful? We love to see it. #TMobile,17973,1285,113,Twitter Web App
2025-10-11 12:56:03+00:00,@TMobileBusiness Thinking about upgrading but still comparing plans.,47052,1171,288,Twitter for iPhone
2018-07-05 16:04:34+00:00,@TMobileBusiness Coverage? ✅ Speed? ✅ Price? ✅ Customer care? ✅ We love balance. #TMobile,20608,957,67,Twitter Web App
2022-05-15 03:41:37+00:00,@TMobile Nothing humbles you like trying to load Google Maps and getting dial-up flashbacks.,38098,840,199,Twitter for iPhone
2018-05-01 18:06:57+00:00,@TMobileHelp Mentally compiling plan comparison charts. #T-Mobile,32999,1176,28,Twitter for iPhone
2022-05-20 22:24:28+00:00,@TMobileBusiness My data plans have trust issues after this week. #T-Mobile,37586,2265,319,Twitter for Android
2016-03-15 14:47:50+00:00,@TMobile The buffering circle is my sleep paralysis demon. #TMobile,10738,934,43,Twitter for iPhone
2019-07-21 10:29:38+00:00,"@TMobile TMobile reminder text received, mentally noted.",35550,665,222,Twitter Web App
2022-05-14 10:33:33+00:00,@TMobile Service is service. Carry on. #T-Mobile,25430,1419,186,Twitter for iPhone
2017-07-30 00:57:29+00:00,"@TMobile TMobile came in clutch, best carrier experience I’ve ever had. #TMobile",45389,682,221,Twitter for Android
2017-08-24 02:15:29+00:00,Service so good I thought I was on WiFi 😭,20172,1023,112,Twitter for Android
2018-08-14 22:46:20+00:00,@TMobileHelp No news is good news with phone service.,658,89,53,Twitter Web App
2023-10-09 16:34:24+00:00,@TMobile Phone works. Bill paid. No drama. Nice.,20600,2196,318,Twitter for Android
2016-07-13 11:37:47+00:00,@TMobileHelp Can we talk about how fast TMobile improved? Night and day difference.,18408,1261,238,Twitter Web App
2025-02-10 10:38:08+00:00,@TMobile Shoutout to the T-Mobile tech who fixed my network in legit 3 minutes. Legend. #TMobile,5522,997,132,Twitter Web App
2022-09-13 12:14:33+00:00,@TMobileHelp I can make calls in places I didn't even know were *allowed* to have signal. #TMobile,33465,663,288,Twitter for Android
2021-11-15 18:30:59+00:00,@TMobileHelp This network is playing hide and seek and I’m losing. #T-Mobile,43127,1130,228,Twitter Web App
2024-06-08 20:10:28+00:00,"Had doubts before switching, now I'm wondering why I waited so long. #TMobile",46247,1258,171,Twitter for iPhone
2019-01-20 20:02:31+00:00,"@TMobileBusiness Not judging, just observing coverage bars. #T-Mobile",18402,1481,163,Twitter Web App
2019-02-05 14:23:42+00:00,"@TMobileBusiness I fear I'm becoming a TMobile evangelist because wow, this is GOOD good. #T-Mobile",28324,1366,310,Twitter for iPhone
2024-03-19 14:59:23+00:00,@TMobile At this point my phone signal is more imaginary than real. #TMobile,35054,1416,193,Twitter for iPhone
2023-07-12 07:39:43+00:00,Curious if 5G actually drains more battery.,13160,1089,226,Twitter Web App
2019-12-12 14:25:14+00:00,@TMobileBusiness Data speeds slower than plot development in a Netflix filler episode. #T-Mobile,25845,2305,126,Twitter for Android
2021-12-06 16:59:05+00:00,Switched my family plan and everyone noticed the difference instantly. #T-Mobile,14794,613,143,Twitter for iPhone
2024-11-01 06:22:39+00:00,"@TMobileHelp TMobile reminder text received, mentally noted. #T-Mobile",3007,2161,62,Twitter for Android
2019-04-12 11:36:47+00:00,@TMobile Why is T-Mobile faster in the woods than my home WiFi 😭,22762,475,316,Twitter for iPhone
2021-11-01 12:35:22+00:00,@TMobileHelp My data loading faster than my brain at this point. #T-Mobile,14589,1614,270,Twitter Web App
2020-12-09 19:16:48+00:00,@TMobile Went on a road trip through 3 states and never lost reception once. Impressive. #TMobile,12091,2054,130,Twitter Web App
2017-09-15 02:39:04+00:00,Outages more common than my sleep schedule. #T-Mobile,5204,1199,177,Twitter for Android
2019-05-16 19:16:45+00:00,@TMobile Speed test more disappointing than my screen time reports. #T-Mobile,35113,1494,98,Twitter for iPhone
2022-11-10 15:11:16+00:00,I refreshed Twitter 10 times just to post this complaint 😭 #TMobile,51168,703,143,Twitter Web App
2019-06-13 18:25:06+00:00,@TMobileHelp The lack of coverage is personal now.,41956,1170,119,Twitter Web App
2018-06-16 10:19:08+00:00,@TMobile The real test was live streaming on the highway. T-Mobile passed with flying colors.,12201,2430,72,Twitter for Android
2015-05-08 19:23:39+00:00,@TMobile Customer support being kind AND helpful? We love to see it. #T-Mobile,10800,1612,87,Twitter for Android
2018-12-27 06:26:29+00:00,@TMobileHelp T-Mobile or WiFi calling today? Undecided.,6816,46,316,Twitter for iPhone
2020-01-15 05:43:37+00:00,@TMobileHelp I have 5 bars but they’re decorative apparently.,37963,1864,162,Twitter for Android
2021-11-15 09:28:34+00:00,@TMobileBusiness Coverage said ‘not today bestie.’,37865,2231,241,Twitter for Android
2015-07-22 11:06:59+00:00,@TMobileBusiness Speed test more disappointing than my screen time reports. #T-Mobile,22558,1391,17,Twitter for Android
2021-10-15 01:14:37+00:00,@TMobileHelp Can we talk about how fast T-Mobile improved? Night and day difference. #TMobile,46895,300,34,Twitter Web App
2016-09-26 22:58:39+00:00,@TMobileBusiness Speed test more disappointing than my screen time reports.,41367,1811,37,Twitter for iPhone
2022-08-19 21:13:40+00:00,@TMobileHelp Loading icon gonna be on my tombstone at this rate. #T-Mobile,3541,119,151,Twitter for iPhone
2015-12-20 10:30:26+00:00,@TMobileBusiness T-Mobile understood the assignment and did the extra credit. #T-Mobile,3920,116,253,Twitter Web App
2016-01-23 20:03:07+00:00,@TMobileBusiness I used to ration data… now I stream in 4K on cellular like a menace. #TMobile,50949,961,36,Twitter for Android
2016-06-17 20:53:47+00:00,@TMobile Another autopay survived. #T-Mobile,12405,2239,221,Twitter for iPhone
2021-03-22 20:23:12+00:00,@TMobileHelp Network so unstable it's giving dramatic plot twists.,31259,871,85,Twitter Web App
2015-02-03 20:25:18+00:00,@TMobileBusiness Considering the Magenta plan but still thinking.,23654,1047,188,Twitter for iPhone
2021-05-29 15:08:56+00:00,@TMobileBusiness Buffering a 10 second video shouldn’t take 2 minutes 😐 #T-Mobile,2208,1006,286,Twitter for iPhone
2019-11-21 09:03:47+00:00,@TMobileBusiness T-Mobile why my 5G acting like 2G with confidence? #T-Mobile,40487,578,25,Twitter for Android
2018-02-05 08:12:03+00:00,Went on a road trip through 3 states and never lost reception once. Impressive. #TMobile,51389,2393,170,Twitter for Android
2024-06-16 19:32:49+00:00,"I miss when dropping calls was rare, not a lifestyle.",53672,618,51,Twitter for Android
2017-07-09 05:21:04+00:00,"@TMobileHelp Switch was seamless, pricing fair, service elite. Big win. #TMobile",24506,621,264,Twitter Web App
2023-01-19 23:13:12+00:00,@TMobile Airport WiFi is officially useless to me now. T-Mobile is faster. #TMobile,36945,780,255,Twitter Web App
2015-08-22 03:07:39+00:00,"@TMobileHelp Phone bill paid, life continues. #T-Mobile",18219,797,21,Twitter Web App
2024-12-18 23:14:21+00:00,@TMobile Monthly payment ✅ Service exists ✅ That’s all I check.,49022,14,107,Twitter for iPhone
2016-07-11 04:42:26+00:00,"Switch was seamless, pricing fair, service elite. Big win.",32277,1728,277,Twitter for iPhone
2019-06-16 09:58:48+00:00,"@TMobileBusiness Not judging, just observing coverage bars. #TMobile",40363,1316,32,Twitter for iPhone
2017-01-24 20:50:19+00:00,@TMobile I can make calls in places I didn't even know were *allowed* to have signal. #T-Mobile,45742,381,247,Twitter Web App
2022-05-15 05:10:08+00:00,Airport WiFi is officially useless to me now. TMobile is faster.,13837,1435,38,Twitter for Android
2016-06-14 17:52:13+00:00,@TMobileBusiness Hotspot carried my entire work day with zero issues. Zero. #T-Mobile,46813,2048,223,Twitter Web App
2016-11-18 21:00:27+00:00,Switching to T-Mobile might be my smartest adult decision so far.,38831,970,275,Twitter for Android
2020-01-31 12:07:46+00:00,@TMobileBusiness Network so unstable it's giving dramatic plot twists. #TMobile,51990,116,170,Twitter for iPhone
2016-04-05 06:54:38+00:00,@TMobileHelp T-Mobile support answered faster than my friends do. #T-Mobile,52686,1674,105,Twitter Web App
2023-08-23 09:18:42+00:00,@TMobile TMobile data refusing to participate in society.,29932,1599,54,Twitter Web App
2017-09-23 09:20:04+00:00,@TMobile Looking at my data usage like ‘interesting.’ #TMobile,32621,265,295,Twitter for iPhone
2015-09-20 08:49:32+00:00,@TMobileBusiness No major updates from T-Mobile today. #TMobile,18840,50,101,Twitter for iPhone
2024-06-21 08:31:34+00:00,The future is 5G and TMobile brought it early. #TMobile,28855,649,45,Twitter for Android
2024-10-20 18:48:11+00:00,"Big 'paid less, got more' energy from TMobile and I love that for me.",38922,1057,18,Twitter for iPhone
2018-04-23 05:08:14+00:00,My bill went down and my speeds went up… what kind of magic is this?,2364,561,277,Twitter for iPhone
2019-04-03 23:47:25+00:00,@TMobileBusiness TMobile fixing problems I didn’t even know I had. #TMobile,27343,1033,127,Twitter Web App
2015-08-29 15:51:38+00:00,"5 bars, 0 function. A tragic story in 4 words.",50054,377,55,Twitter Web App
2015-10-20 20:58:09+00:00,@TMobileBusiness Connectivity on a spiritual level only.,54874,123,29,Twitter for Android
2024-01-18 11:42:43+00:00,@TMobileHelp T-Mobile fixing problems I didn’t even know I had.,32600,438,73,Twitter Web App
2017-09-15 17:22:00+00:00,@TMobileHelp At this point carrier pigeons send data faster. #T-Mobile,56300,176,314,Twitter for iPhone
2023-04-28 01:37:18+00:00,"@TMobileHelp T-Mobile service in rural areas is actually insane, major props. #T-Mobile",48050,1566,196,Twitter for Android
2019-06-12 04:31:21+00:00,@TMobileHelp My network speed built like a school group project. #TMobile,43854,408,222,Twitter for iPhone
2021-09-08 11:00:42+00:00,@TMobileBusiness The future is 5G and TMobile brought it early. #TMobile,52972,599,196,Twitter Web App
2016-08-29 03:55:38+00:00,@TMobileBusiness This network is playing hide and seek and I’m losing.,36362,1194,75,Twitter Web App
2017-02-21 19:16:25+00:00,"@TMobileBusiness No complaints, no praise, just vibes. #T-Mobile",12390,1011,28,Twitter for Android
2017-12-12 08:59:42+00:00,"@TMobileHelp There’s fast, and then there’s T-Mobile 5G fast. #T-Mobile",31701,371,107,Twitter for iPhone
2021-10-29 17:18:57+00:00,@TMobile Waiting for a reason to upgrade honestly. #T-Mobile,43252,1045,251,Twitter for iPhone
2016-01-15 05:07:47+00:00,"@TMobile Might switch plans, still deciding. #TMobile",32171,890,24,Twitter Web App
2018-06-18 00:56:57+00:00,@TMobile I can make calls in places I didn't even know were *allowed* to have signal.,14692,814,116,Twitter for Android
2023-07-09 17:47:08+00:00,"@TMobileBusiness I don’t need 5G Ultra, I need 5G that works.",26105,1458,227,Twitter for iPhone
2022-06-18 14:27:12+00:00,"@TMobileBusiness Had an issue, tweeted at support, got a fix in minutes. 10/10 experience. #TMobile",20798,1088,103,Twitter for Android
2017-03-17 13:39:24+00:00,"@TMobile TMobile bill just hit, looks normal.",28379,364,249,Twitter Web App
2020-10-18 10:25:05+00:00,@TMobileHelp Streaming on T-Mobile data is a game of chance.,24641,594,20,Twitter for Android
2020-12-16 22:57:32+00:00,@TMobileHelp T-Mobile deserves credit where it’s due — network game STRONG. #TMobile,3365,1772,107,Twitter for Android
2024-10-12 18:45:32+00:00,At this point my phone signal is more imaginary than real. #T-Mobile,46821,678,192,Twitter for Android
2016-11-21 23:32:55+00:00,@TMobileBusiness My network speed built like a school group project. #TMobile,23688,746,237,Twitter for iPhone
2021-02-15 18:17:07+00:00,@TMobileHelp I have full bars but nothing loads… make it make sense T-Mobile. #TMobile,44825,370,43,Twitter for Android
2020-06-14 11:59:36+00:00,@TMobile Debating if 5G UC really matters. #TMobile,21854,263,167,Twitter Web App
2018-04-23 12:16:07+00:00,"@TMobile Switch was seamless, pricing fair, service elite. Big win. #TMobile",16321,752,16,Twitter for Android
2021-06-05 17:20:15+00:00,T-Mobile fixing problems I didn’t even know I had.,31404,91,124,Twitter for iPhone
2015-04-10 16:55:34+00:00,@TMobileBusiness Streaming on T-Mobile data is a game of chance. #TMobile,44798,603,186,Twitter for Android
2017-03-16 05:30:50+00:00,@TMobile I have full bars but nothing loads… make it make sense T-Mobile. #T-Mobile,14849,2139,104,Twitter for iPhone
2018-11-05 21:21:47+00:00,TMobile really testing my emotional resilience. #T-Mobile,32067,2018,292,Twitter Web App
2022-03-18 20:34:25+00:00,@TMobile The lack of coverage is personal now. #T-Mobile,41446,444,320,Twitter for iPhone
2022-10-03 07:39:38+00:00,"@TMobileHelp Might call support later, might not. #TMobile",34799,1638,107,Twitter for Android
2024-02-19 06:05:52+00:00,"@TMobile There’s fast, and then there’s TMobile 5G fast.",30389,2206,315,Twitter for iPhone
2021-08-06 13:57:54+00:00,@TMobileBusiness I used to ration data… now I stream in 4K on cellular like a menace. #T-Mobile,40315,1803,230,Twitter for iPhone
2022-12-05 16:38:40+00:00,The real test was live streaming on the highway. TMobile passed with flying colors. #TMobile,10894,126,15,Twitter for Android
2024-07-08 03:08:23+00:00,"@TMobileBusiness TMobile service in rural areas is actually insane, major props.",55505,2317,57,Twitter for iPhone
2019-07-06 14:17:00+00:00,@TMobileBusiness TMobile telling me to restart my phone like I didn't try that 12 times already.,23968,212,108,Twitter for Android
2019-05-29 06:26:56+00:00,This network is playing hide and seek and I’m losing.,8067,769,86,Twitter Web App
2020-05-01 12:38:00+00:00,@TMobileHelp Never thought I’d say this but… my mobile carrier makes me happy??? #T-Mobile,5669,2237,118,Twitter Web App
2017-10-18 17:10:00+00:00,@TMobile I’m starting to think I pay my bill out of charity at this point. #TMobile,35747,1548,9,Twitter for Android
